mode,sample_id,control,score
2d,train__c29__user1__3-2-1,left_right_swap,0.8222179710168416
2d,train__c29__user1__3-2-2,positive_same_trial,0.8721140363633831
2d,train__c29__user1__3-2-2,same_action_other_trial,0.6590045798421243
2d,train__c29__user1__3-2-2,different_action,0.6253953792922052
2d,train__c29__user1__3-2-2,time_shuffle,0.7266328116143658
2d,train__c29__user1__3-2-2,left_right_swap,0.8161679520821198
2d,train__c29__user1__3-2-3,positive_same_trial,0.8798822545525293
2d,train__c29__user1__3-2-3,same_action_other_trial,0.7493637540128198
2d,train__c29__user1__3-2-3,different_action,0.6451699163678454
2d,train__c29__user1__3-2-3,time_shuffle,0.7307428056426218
